name,changed_network,status,tv_network,metacritc_last_info_year,tvtime_followers,tvtime_rate,no_seasons,eps_duration,age_rating,imdb_rate,rotten_tomatoes_rate,released_year,awards_won,awards_nominated
"$100,000 Pyramid",0.0,renewed,ABC,2020,0.0008054175331261048,0.7855211584229431,,normal,,0.7584556059704732,0.7745465784818452,,0.0,0.0
10-Year-Old Tom,0.0,,HBO,2020,0.00023990930215840424,0.8838114379204522,,normal,,0.6849914150086759,0.7723353696119545,,0.0,0.0
12 Monkeys,0.0,end,SYFY,2018,0.05255269560186488,0.9402654867256638,4.0,normal,16+,0.7662337662337663,0.8723404255319149,2015.0,0.0,0.0
1899,0.0,,NETFLIX,2020,0.0016346888641954565,0.6666666666666667,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
1983,0.0,,NETFLIX,2018,0.006134576127032408,0.7013274336283186,1.0,normal,18+,0.6493506493506493,1.0,2018.0,0.0,0.0
20/20,0.0,renewed,ABC,2020,0.001298498271700316,0.8296460176991152,43.0,normal,,0.6233766233766234,0.6755648311074974,1978.0,0.0,0.0
21 Thunder,0.0,canceled,NETFLIX,2017,0.004231757582476401,0.7610619469026549,1.0,normal,18+,0.5714285714285715,0.5420017984176098,2017.0,0.0,0.0
24,0.0,canceled,FOX,2013,0.045993298129313714,0.8539823008849559,9.0,normal,16+,0.8441558441558442,0.851063829787234,2001.0,21.0,73.0
24: Legacy,0.0,canceled,FOX,2016,0.014160494992651153,0.6172566371681416,1.0,normal,16+,0.5714285714285715,0.5638297872340425,2017.0,0.0,0.0
2 Broke Girls,0.0,canceled,CBS,2016,0.014402579400623514,0.7817355592628231,,normal,,0.8090406171342144,0.8164234371339599,,1.0,12.0
2 Dope Queens,0.0,renewed,HBO,2018,0.000215442017732502,0.7190265486725664,2.0,normal,,0.8056163893956285,0.7209728036150922,,0.0,0.0
3%,0.0,renewed,NETFLIX,2020,2.1002890170907228e-05,0.8340707964601771,1.0,normal,7+,0.7272727272727273,0.2872340425531915,2016.0,0.0,1.0
3 Below: Tales of Arcadia,0.0,,NETFLIX,2018,0.005300523210142361,0.9491150442477875,2.0,short,7+,0.7792207792207793,1.0,2018.0,0.0,0.0
45 rpm,0.0,,NETFLIX,2019,6.297782263058171e-05,0.8267078673674989,,short,16+,0.7142857142857143,0.7925121459379963,2019.0,0.0,0.0
48 Hours,0.0,renewed,CBS,2020,0.0009834549191367076,0.8938053097345132,23.0,normal,,0.7865425765788606,0.6850793622394541,,0.0,0.0
500 Questions,0.0,canceled,ABC,2015,1.688892199310066e-05,0.39159292035398235,2.0,normal,,0.6114518550800376,0.6903401823136418,,0.0,0.0
60 Minutes,0.0,renewed,CBS,2020,0.0012361391751104058,0.59070796460177,52.0,normal,,0.7872439890574197,0.6827968230792156,,1.0,1.0
61st Street,0.0,renewed,AMC,2020,0.0005728159375993307,0.877581164379221,,normal,,0.7708360858264984,0.7771796303795385,,0.0,0.0
7Seeds,0.0,,NETFLIX,2019,0.0027632874676403922,0.8539823008849559,1.0,short,18+,0.5844155844155844,0.6161994302563101,2019.0,0.0,0.0
9-1-1,0.0,renewed,FOX,2020,0.048128447613595325,0.922566371681416,3.0,normal,,0.7932572269738977,0.7025951855692826,,2.0,5.0
9-1-1: Lone Star,0.0,renewed,FOX,2020,0.0007829531016288715,0.7863459918904617,1.0,normal,16+,0.5974025974025975,0.8280386709413566,2020.0,0.0,0.0
9JKL,0.0,canceled,CBS,2017,0.002432004767006495,0.26548672566371684,1.0,short,,0.7867991528200619,0.7045606996686569,,0.0,0.0
A5,0.0,end,HBO,2020,8.460700344620618e-05,0.8657817538287598,,normal,,0.6997970168750892,0.7750112964252103,,0.0,0.0
Abby's,0.0,canceled,NBC,2018,0.0013127888980021705,0.09734513274336286,1.0,short,,0.8234139410275978,0.7424077632968566,,0.0,0.0
A Black Lady Sketch Show,0.0,renewed,HBO,2020,0.0007320698110086324,0.7942477876106196,1.0,short,,0.8047006805391965,0.7195291229760975,,0.0,0.0
About a Boy,0.0,canceled,NBC,2014,0.006108160120838072,0.7610619469026549,2.0,short,,0.8219794451319967,0.735674909365763,,0.0,1.0
Absentia,0.0,renewed,AMAZON,2020,0.016991987722186762,0.9292035398230087,2.0,normal,18+,0.7142857142857143,0.46808510638297873,2017.0,0.0,0.0
Abyss,0.0,,NETFLIX,2018,0.004286321791992572,0.9623893805309734,1.0,long,,0.8258942846580554,0.7453961787070449,,0.0,0.0
A Chorus Line,0.0,end,NETFLIX,2020,0.00017338210623045323,0.6952433249196137,,normal,,0.678397864140928,0.7840871512114546,,0.0,0.0
A Christmas Carol,0.0,end,FX,2019,0.0004020990033778781,0.863382838683145,,normal,,0.8030336674037389,0.7874499867528476,,1.0,4.0
"Ada Twist, Scientist",0.0,,NETFLIX,2020,0.0016346888641954565,0.6666666666666667,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
A.D.: The Bible Continues,0.0,canceled,NBC,2014,0.001183090638080795,0.8230088495575223,1.0,normal,16+,0.7272727272727273,0.5531914893617021,2015.0,0.0,0.0
Adventure Time: Distant Lands,0.0,,HBO,2020,0.00023990930215840424,0.8838114379204522,,normal,,0.6849914150086759,0.7723353696119545,,0.0,0.0
Ad Vitam,0.0,,NETFLIX,2019,0.0012937347295996979,0.6792035398230089,1.0,normal,7+,0.5974025974025975,0.5656275146581923,2018.0,0.0,0.0
After Life,0.0,renewed,NETFLIX,2020,0.015747404086079803,0.9137168141592923,1.0,short,18+,0.8701298701298701,0.6808510638297872,2019.0,0.0,0.0
Aftermath,0.0,canceled,SYFY,2016,0.0044463335016451545,0.5575221238938054,1.0,normal,,0.7998796780176193,0.6233056900327294,2014.0,0.0,0.0
Agent Carter,0.0,canceled,ABC,2014,0.00717447180257341,0.784660766961652,,short,,0.6916776675714955,0.7623029433128148,,0.0,0.0
Agent King,0.0,,NETFLIX,2020,0.0016346888641954565,0.6666666666666667,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
Agent X,0.0,canceled,TNT,2015,0.003690445980133431,0.6946902654867257,1.0,normal,16+,0.5714285714285715,0.23404255319148937,2015.0,0.0,0.0
Aggretsuko,0.0,renewed,NETFLIX,2020,0.01139655795108795,0.8650442477876107,2.0,short,16+,0.8051948051948052,0.8065331322971536,2018.0,0.0,0.0
A.I.C.O. Incarnation,0.0,canceled,NETFLIX,2017,0.005826245038337853,0.8672566371681417,1.0,short,18+,0.5974025974025975,0.7135610252759663,2018.0,0.0,0.0
AJ and the Queen,0.0,canceled,NETFLIX,2019,1.7321971274975035e-05,0.7780319440310329,1.0,normal,,0.7532467532467532,0.46808510638297873,2020.0,0.0,0.0
A League of Their Own,0.0,,AMAZON,2020,0.00026437658658430644,0.7367256637168142,14.0,normal,,0.7821911159384425,0.6839604837374429,,0.0,1.0
Alexa & Katie,0.0,renewed,NETFLIX,2019,0.025012493471782075,0.8230088495575223,2.0,short,all,0.7142857142857143,0.8379486215277523,2018.0,1.0,2.0
Alex Inc.,0.0,canceled,ABC,2017,0.0034106961440425842,0.6703539823008849,1.0,short,,0.7729483266506525,0.6885577921329413,,0.0,0.0
Alias Grace,0.0,end,NETFLIX,2017,0.03538922036405587,0.9004424778761063,1.0,normal,18+,0.7792207792207793,0.9893617021276596,2017.0,0.0,1.0
Alice in Borderland,0.0,,NETFLIX,2020,0.00041161334242159424,0.9535398230088498,1.0,short,,0.8246264594835576,0.7441895962221311,,0.0,0.0
Alien News Desk,0.0,,SYFY,2018,6.928788509990014e-05,0.7455752212389382,1.0,short,,0.8401993748804361,0.7505796237463243,,0.0,0.0
A Little Help With Carol Burnett,0.0,canceled,NETFLIX,2017,0.000373288480975712,0.7544247787610621,1.0,short,,0.5454545454545454,0.6003127876712463,2018.0,0.0,0.0
All About the Washingtons,0.0,canceled,NETFLIX,2018,0.0033647929201639005,0.7101769911504425,1.0,short,all,0.31168831168831174,0.3617021276595745,2018.0,0.0,0.0
All American,0.0,renewed,THE CW,2020,0.011777208269855526,0.9314159292035401,2.0,normal,16+,0.7662337662337663,0.9574468085106383,2018.0,0.0,0.0
Allegiance,0.0,canceled,NBC,2014,0.0026390023237424466,0.8473451327433629,1.0,normal,,0.822049849204268,0.7362775836199593,,0.0,0.0
All for Love,0.0,,NETFLIX,2020,0.0016346888641954565,0.6666666666666667,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
All Hail King Julien,0.0,canceled,NETFLIX,2017,0.0014972678920806546,0.7876106194690267,6.0,short,7+,0.7012987012987013,0.8014119529294461,2014.0,0.0,0.0
All of Us Are Dead,0.0,,NETFLIX,2020,0.0016346888641954565,0.6666666666666667,,normal,,0.6785093430863149,0.7839195574716284,,0.0,0.0
All or Nothing: A Season With the Arizona Cardinals,0.0,canceled,AMAZON,2016,0.0033933743241774256,0.7758112483814925,,normal,,0.6958735873646283,0.7673259357756468,,0.0,0.0
All or Nothing: A Season With the Los Angeles Rams,0.0,canceled,AMAZON,2017,0.0008408424715059829,0.784292002577581,,normal,,0.6989766846273027,0.7691415099401749,,0.0,0.0
All or Nothing: Manchester City,0.0,,AMAZON,2018,0.0023404148438900645,0.9557522123893807,1.0,normal,,0.8441558441558442,0.7710469604329913,2018.0,0.0,0.0
All or Nothing: New Zealand All Blacks,0.0,,AMAZON,2018,0.00019313997971597165,0.9159292035398232,1.0,normal,16+,0.8441558441558442,0.790552239384364,2018.0,0.0,0.0
All or Nothing: The Dallas Cowboys,0.0,canceled,AMAZON,2017,2.1652464093718793e-05,0.9668141592920353,1.0,normal,18+,0.7662337662337663,0.8136583223832295,2018.0,0.0,0.0
All or Nothing: The Michigan Wolverines,0.0,canceled,AMAZON,2017,0.00015719688932039843,0.7477876106194691,1.0,normal,,0.7402597402597403,0.7504683202498047,2018.0,0.0,0.0
